USGS SID,Sample start date (yyyymmdd),Sample start time (hhmm),medium code,Sample end date (yyyymmdd),Sample end time (hhmm),90095,00403,00413,00915,00925,00930,00935,00608,00618,00940,00945,00681,00600,00602,81026,82300
375532105291700,20140320,1300,OB,,,3.5,6.08,0.579,0.250,0.023,0.034,0.051,0.107,0.098,0.023,0.267,0.49,0.21,0.22,43.8,160
364233106145100,20140321,1500,OB,,,9.7,6.77,2.561,1.051,0.095,0.133,0.329,0.086,0.199,0.150,0.485,1.75,0.39,0.39,21.4,89
363422105264300,20140322,1140,OB,,,6.8,6.53,1.095,0.751,0.052,0.062,0.094,0.084,0.132,0.062,0.730,0.88,0.25,0.27,27.4,105
363422105264300,20140322,1150,OBQ,,,7.8,6.57,1.441,0.906,0.063,0.072,0.123,0.062,0.148,0.069,0.879,1.27,0.27,0.27,,
375930107120000,20140322,1530,OB,,,3.3,5.91,0.297,0.228,0.027,0.029,0.075,0.044,0.081,0.045,0.167,0.88,0.15,0.17,30.4,115
372900106470000,20140323,1250,OB,,,5.1,6.47,0.808,0.420,0.046,0.067,0.101,0.088,0.139,0.101,0.328,0.58,0.26,0.26,61.7,199
372900106470000,20140323,1300,OBQ,,,4.8,6.06,0.414,0.374,0.039,0.067,0.076,0.099,0.140,0.100,0.325,0.45,0.26,0.27,,
403100105540000,20140323,1445,OB,,,3.2,5.79,0.171,0.157,0.020,0.044,0.038,0.075,0.088,0.040,0.245,0.43,0.16,0.17,76.7,238
374500107420000,20140324,1015,OB,,,3.7,6.28,0.615,0.372,0.029,0.036,0.027,0.067,0.105,0.045,0.192,0.41,0.17,0.19,55.3,174
375350107420000,20140324,1430,OB,,,4.0,6.02,0.390,0.291,0.039,0.043,0.073,0.067,0.101,0.047,0.214,0.71,0.19,0.19,65.0,215
404456109301800,20140324,1130,OB,,,7.9,6.77,2.431,0.575,0.094,0.087,0.214,0.362,0.133,0.108,0.302,1.51,0.77,0.56,24.7,87
404456109301800,20140324,1140,OBQ,,,6.2,6.62,1.882,0.568,0.087,0.085,0.126,0.153,0.137,0.101,0.309,1.48,0.59,0.39,,
423420108503400,20140324,1300,OB,,,3.9,6.23,0.745,0.286,0.054,0.041,0.143,0.007,0.060,0.056,0.196,2.39,0.22,0.14,33.5,112
390158107583901,20140325,1115,OB,,,4.5,6.09,0.391,0.439,0.065,0.071,0.148,0.048,0.129,0.071,0.325,1.54,0.19,0.24,35.8,131
403544110260200,20140325,1100,OB,,,5.5,6.44,1.196,0.564,0.049,0.101,0.029,0.078,0.095,0.073,0.352,0.68,0.18,0.19,25.6,98
411817107093500,20140326,1630,OB,,,5.5,6.44,0.908,0.519,0.061,0.123,0.066,0.131,0.159,0.098,0.439,0.58,0.25,0.30,52.3,156
412229106144100,20140326,1200,OB,,,3.4,5.92,0.291,0.190,0.026,0.048,0.062,0.092,0.093,0.049,0.279,0.72,0.20,0.21,97.6,275
410917106583300,20140327,1100,OB,,,4.8,5.68,0.154,0.388,0.041,0.119,0.091,0.118,0.142,0.108,0.409,0.78,0.28,0.29,76.7,225
402354106392500,20140328,1200,OB,,,4.4,5.97,0.236,0.285,0.032,0.108,0.042,0.109,0.114,0.087,0.426,0.49,0.22,0.23,98.3,301
402355106392400,20140328,1030,OB,,,5.4,6.03,0.472,0.332,0.042,0.179,0.123,0.113,0.122,0.132,0.550,0.84,0.23,0.25,103.6,318
402440105484700,20140328,1140,OB,,,3.3,5.64,0.157,0.134,0.016,0.032,0.031,0.062,0.091,0.030,0.236,0.55,0.16,0.17,70.9,253
400200105340000,20140331,1130,OB,,,4.2,6.40,0.773,0.403,0.033,0.037,0.071,0.082,0.105,0.038,0.303,0.72,0.21,0.23,63.9,209
403240106410000,20140401,1430,OB,,,3.9,5.65,0.054,0.246,0.026,0.059,0.031,0.097,0.125,0.053,0.348,0.35,0.22,0.22,166.0,493
403240106410000,20140401,1440,OBQ,,,4.2,6.09,0.406,0.291,0.033,0.097,0.031,0.102,0.126,0.093,0.383,0.39,0.22,0.24,,
400510107184301,20140402,1100,OB,,,5.0,6.43,1.142,0.551,0.043,0.092,0.028,0.071,0.102,0.079,0.257,0.24,0.17,0.19,53.9,177
401200107090000,20140402,1400,OB,,,4.8,6.44,0.943,0.485,0.044,0.106,0.102,0.065,0.113,0.090,0.342,0.95,0.20,0.23,59.6,215
401722105400300,20140404,1340,OB,,,3.3,5.99,0.347,0.243,0.026,0.037,0.042,0.071,0.101,0.037,0.246,0.41,0.19,0.21,111.1,333
401725105400001,20140404,1530,OB,,,4.1,6.20,0.704,0.390,0.030,0.042,0.047,0.064,0.094,0.037,0.244,0.42,0.16,0.18,87.6,260
392200106120000,20140407,1400,OB,,,4.9,6.56,1.321,0.678,0.040,0.064,0.099,0.054,0.089,0.049,0.266,0.97,0.15,0.18,44.3,189
394800105470001,20140409,1410,OB,,,5.4,6.52,1.379,0.369,0.041,0.046,0.265,0.201,0.096,0.081,0.221,1.65,0.36,0.38,68.4,218
394800105470001,20140409,1420,OAQ,,,1.3,5.68,0.030,0.010,0.009,0.009,0.010,0.007,0.004,0.016,0.009,0.09,0.05,0.05,,
394000105533000,20140410,1330,OB,,,5.1,6.32,0.891,0.549,0.040,0.074,0.024,0.084,0.089,0.081,0.377,0.23,0.16,0.18,73.0,245
394000105533000,20140410,1340,OAQ,,,1.2,5.73,0.070,0.013,0.009,0.009,0.010,0.007,0.003,0.017,0.009,0.09,0.05,0.05,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
